train/learning_rate,train/n_updates,train/ent_coef,time/time_elapsed,train/critic_loss,train/ent_coef_loss,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/episodes,rollout/ep_len_mean,train/actor_loss
0.0003,268704,1.1369452920462209e-05,1397,9.793003641789255e-06,-3.9333967976272106,268816,192,0.01,0.01,900,297.79,-0.017403675155946985
0.0003,269920,1.1812653383458382e-05,1403,8.121996557974853e-06,-2.379437707364559,270032,192,0.02,0.02,904,294.8,-0.019327949674334377
0.0003,273200,1.2103130586638144e-05,1420,7.819102961548197e-06,5.12216042727232,273312,192,0.02,0.02,908,294.8,-0.015157084621023387
0.0003,273488,1.1738954924567224e-05,1421,1.926512209138309e-05,-1.2364057451486588,273600,192,0.02,0.02,912,294.8,-0.01575611819862388
0.0003,273504,1.1721825501354033e-05,1422,1.3229192063590745e-05,-3.033240422606468,273616,192,0.02,0.02,916,294.8,-0.01724305236712098
0.0003,274720,1.0596954837183148e-05,1428,1.846195925736538e-05,-0.3897845596075058,274832,192,0.02,0.02,920,294.8,-0.01812446233816445
0.0003,275360,1.2253049533228477e-05,1431,8.323322305159309e-06,-1.599399745464325,275472,192,0.02,0.02,924,295.18,-0.017212258331710473
0.0003,278288,1.1542732352154417e-05,1446,8.911857293014691e-06,-8.191355522722006,278400,192,0.02,0.02,928,295.18,-0.012056294188369066
0.0003,278304,1.1482361685466458e-05,1446,7.421801370810499e-06,-1.5532222166657448,278416,192,0.02,0.02,932,295.18,-0.014425521396333352
0.0003,279520,1.1035284387617139e-05,1452,1.02613496721915e-05,-6.909021690487862,279632,192,0.03,0.03,936,295.18,-0.011421688250266016
0.0003,280160,1.1012257800757652e-05,1455,1.4055109488708695e-05,0.8441909626126289,280272,192,0.03,0.03,940,295.18,-0.013836737140081823
0.0003,283088,1.1153008927067276e-05,1471,1.2649188079194573e-05,2.29036645591259,283200,192,0.03,0.03,944,295.18,-0.012646916562516708
0.0003,283104,1.1165620378505992e-05,1471,1.1767217500846527e-05,-0.25515536218881607,283216,192,0.03,0.03,948,295.18,-0.010174380557145923
0.0003,284320,1.1139152150008158e-05,1477,3.105730536390183e-05,3.846778094768524,284432,192,0.03,0.03,952,295.18,-0.011891301444848068
0.0003,284960,1.170703939123996e-05,1480,1.1471521446537736e-05,-5.538696736097336,285072,192,0.03,0.03,956,295.18,-0.011371990229235962
0.0003,287888,1.197124782947867e-05,1495,1.0323643039100716e-05,5.009034737944603,288000,192,0.03,0.03,960,295.18,-0.012040816043736413
0.0003,287904,1.2005577445961535e-05,1495,1.0301371190735154e-05,0.08299432881176472,288016,192,0.03,0.03,964,295.18,-0.012021326168905944
0.0003,289120,1.090039751261429e-05,1502,2.8974150012572863e-05,-5.4964892975986,289232,192,0.03,0.03,968,295.18,-0.013945824684924446
0.0003,289760,1.0055754785298632e-05,1505,1.5231610689170338e-05,-4.2204273119568825,289872,192,0.03,0.03,972,295.18,-0.009311853646067902
0.0003,292688,1.0569860933173914e-05,1519,1.1893699308984651e-05,-8.84557069838047,292800,192,0.03,0.03,976,295.18,-0.007923089055111632
0.0003,292704,1.0511835625948152e-05,1519,1.0503209011858416e-05,-6.215693570673466,292816,192,0.03,0.03,980,295.18,-0.009987770710722543
0.0003,293856,9.543274188672513e-06,1525,1.9313081452310144e-05,4.248020999133587,293968,192,0.04,0.04,984,292.88,-0.0094750001153443
0.0003,294240,1.0804849921441928e-05,1527,1.2025899252421368e-05,6.628138229250908,294352,192,0.04,0.04,988,292.88,-0.009886808606097475
0.0003,297488,1.2315570018017752e-05,1542,1.0102633439146302e-05,0.8735549300909042,297600,192,0.04,0.04,992,292.88,-0.010844406744581647
0.0003,297504,1.231905997656213e-05,1542,9.356663923654196e-06,-3.48075994849205,297616,192,0.04,0.04,996,292.88,-0.010049519216408953
0.0003,298640,1.3349923676742037e-05,1548,1.2376827726257034e-05,7.49003479629755,298752,192,0.05,0.05,1000,290.45,-0.008978043722891016
0.0003,298800,1.3782465259737364e-05,1549,1.370220101648556e-05,16.48356020450592,298912,192,0.04,0.04,1004,293.44,-0.012238888477440923
0.0003,302288,1.2043444542086945e-05,1566,1.012783354781277e-05,-1.6879006586968899,302400,193,0.04,0.04,1008,293.44,-0.008831566192384344
0.0003,302304,1.2025744126731297e-05,1566,1.1893510190930101e-05,0.9444091618061066,302416,193,0.04,0.04,1012,293.44,-0.012525913320132531
0.0003,303440,1.2478816756811284e-05,1572,1.2487198205235472e-05,-4.4331157095730305,303552,193,0.04,0.04,1016,293.44,-0.010263464791933075
0.0003,303600,1.2257074331500917e-05,1573,1.0593321349006146e-05,-2.551694892346859,303712,193,0.04,0.04,1020,293.44,-0.010211878849077038
0.0003,307088,1.4251240543217136e-05,1591,9.949743258630406e-06,0.5135656669735909,307200,193,0.03,0.03,1024,295.27,-0.00917356600984931
0.0003,307104,1.4254779387101735e-05,1591,1.812392110878136e-05,-1.4406967759132385,307216,193,0.03,0.03,1028,295.27,-0.011372455657692626
0.0003,308240,1.4571313954547804e-05,1597,8.965674425098769e-06,-4.295525282621384,308352,193,0.03,0.03,1032,295.27,-0.009071002488781232
0.0003,308400,1.4051601681330794e-05,1598,1.269332554443281e-05,-5.413811467587948,308512,193,0.02,0.02,1036,295.27,-0.011732123428373598
0.0003,311888,1.2712471288978122e-05,1614,1.6578304382619535e-05,-1.4035687148571014,312000,193,0.02,0.02,1040,295.27,-0.010394368116976693
0.0003,311904,1.2697186207333289e-05,1615,1.671504372779964e-05,-1.8876856788992882,312016,193,0.02,0.02,1044,295.27,-0.013023119390709326
0.0003,313040,1.439120330815058e-05,1621,1.3861902061762521e-05,-3.390164792537689,313152,193,0.02,0.02,1048,295.27,-0.012622070964425802
0.0003,313200,1.4142931036076334e-05,1621,9.759259228303563e-06,-4.268337972462177,313312,193,0.02,0.02,1052,295.27,-0.010348410432925448
0.0003,316688,1.5294044260372175e-05,1640,1.0888535115327613e-05,-5.802417241036892,316800,193,0.02,0.02,1056,295.27,-0.009915432783600409
0.0003,316704,1.5243500456563197e-05,1640,1.311343285692601e-05,-1.982676450163126,316816,193,0.02,0.02,1060,295.27,-0.0143934555380838
0.0003,317840,1.7247261780539702e-05,1646,1.2670583203089336e-05,4.734988637268543,317952,193,0.02,0.02,1064,295.27,-0.011521280510351062
0.0003,318000,1.7288515778091096e-05,1647,1.3105846278449462e-05,6.862804397940636,318112,193,0.02,0.02,1068,295.27,-0.013280262530315667
0.0003,321488,1.4609495394779515e-05,1665,1.3256515671855595e-05,0.49259310960769653,321600,193,0.02,0.02,1072,295.27,-0.013408561993855983
0.0003,321504,1.4620170645684993e-05,1665,1.4120719924903824e-05,-1.6369010880589485,321616,193,0.02,0.02,1076,295.27,-0.012832889959099703
0.0003,322640,1.667493870627368e-05,1671,1.5576128731709105e-05,0.9066417813301086,322752,193,0.02,0.02,1080,295.27,-0.013812452787533402
