2026-04-02 14:50:31 | Training started | num_expert_samples=5000
2026-04-02 14:50:31 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 14:52:36 | Training started | num_expert_samples=5000
2026-04-02 14:52:36 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 14:57:41 | Training started | num_expert_samples=5000
2026-04-02 14:57:41 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 15:46:26 | 40 | -61.1163 | 3.7612 | 1.0215 | 0.4457 | 0.5758 | -66.6127
2026-04-02 16:02:06 | Training started | num_expert_samples=5000
2026-04-02 16:02:06 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 16:02:17 | 1 | -115.0437 | 4.2315 | 1.3890 | 0.6801 | 0.7090 | -112.9494
2026-04-02 16:02:29 | 2 | -109.9189 | 4.2325 | 1.3781 | 0.6754 | 0.7027 | -111.2791
2026-04-02 16:02:40 | 3 | -111.3380 | 4.2196 | 1.3682 | 0.6708 | 0.6973 | -109.5233
2026-04-02 16:02:52 | 4 | -108.5835 | 4.1916 | 1.3587 | 0.6658 | 0.6930 | -111.3073
2026-04-02 16:03:03 | 5 | -105.3364 | 4.1988 | 1.3498 | 0.6601 | 0.6897 | -103.4280
2026-04-02 16:03:14 | 6 | -107.2015 | 4.1802 | 1.3399 | 0.6547 | 0.6852 | -104.1224
2026-04-02 16:03:25 | 7 | -103.3459 | 4.1762 | 1.3306 | 0.6485 | 0.6821 | -102.3377
2026-04-02 16:03:37 | 8 | -107.2399 | 4.1382 | 1.3232 | 0.6422 | 0.6809 | -96.5014
2026-04-02 16:03:48 | 9 | -95.2587 | 4.1310 | 1.3178 | 0.6358 | 0.6820 | -90.7201
2026-04-02 16:03:59 | 10 | -95.3019 | 4.1071 | 1.3090 | 0.6288 | 0.6802 | -85.9161
2026-04-02 16:04:10 | 11 | -88.8755 | 4.0743 | 1.3022 | 0.6215 | 0.6806 | -83.4788
2026-04-02 16:04:21 | 12 | -94.1896 | 4.0511 | 1.2912 | 0.6140 | 0.6773 | -83.7051
2026-04-02 16:04:32 | 13 | -83.9862 | 4.0262 | 1.2878 | 0.6072 | 0.6806 | -76.7844
2026-04-02 16:04:43 | 14 | -82.2811 | 4.0086 | 1.2833 | 0.6001 | 0.6832 | -76.1983
2026-04-02 16:04:54 | 15 | -78.1233 | 3.9905 | 1.2701 | 0.5921 | 0.6780 | -78.0806
2026-04-02 16:05:05 | 16 | -76.0196 | 3.9665 | 1.2623 | 0.5850 | 0.6773 | -79.3937
2026-04-02 16:05:16 | 17 | -73.0205 | 3.9504 | 1.2645 | 0.5787 | 0.6858 | -70.4386
2026-04-02 16:05:28 | 18 | -72.3153 | 3.9325 | 1.2597 | 0.5735 | 0.6862 | -73.8894
2026-04-02 16:05:39 | 19 | -77.5363 | 3.9149 | 1.2568 | 0.5678 | 0.6890 | -71.0976
2026-04-02 16:05:50 | 20 | -67.1414 | 3.8944 | 1.2500 | 0.5644 | 0.6856 | -69.0586
2026-04-02 16:06:01 | 21 | -72.8625 | 3.8851 | 1.2395 | 0.5590 | 0.6804 | -73.1717
2026-04-02 16:06:12 | 22 | -69.9699 | 3.8638 | 1.2429 | 0.5576 | 0.6853 | -65.8595
2026-04-02 16:06:22 | 23 | -67.0974 | 3.8385 | 1.2502 | 0.5568 | 0.6935 | -65.2235
2026-04-02 16:06:33 | 24 | -71.8088 | 3.8093 | 1.2441 | 0.5603 | 0.6838 | -67.0467
2026-04-02 16:06:44 | 25 | -71.0190 | 3.7903 | 1.2410 | 0.5594 | 0.6816 | -65.4120
2026-04-02 16:06:55 | 26 | -66.6534 | 3.7707 | 1.2366 | 0.5645 | 0.6720 | -63.3950
2026-04-02 16:07:06 | 27 | -66.8598 | 3.7550 | 1.2500 | 0.5684 | 0.6816 | -67.4520
2026-04-02 16:07:17 | 28 | -62.2120 | 3.7377 | 1.2366 | 0.5736 | 0.6630 | -66.1488
2026-04-02 16:07:28 | 29 | -64.8058 | 3.7184 | 1.2278 | 0.5808 | 0.6470 | -66.0286
2026-04-02 16:07:39 | 30 | -65.6288 | 3.7093 | 1.2279 | 0.5866 | 0.6413 | -66.2259
2026-04-02 16:07:50 | 31 | -63.9893 | 3.6992 | 1.2005 | 0.5886 | 0.6118 | -62.4970
2026-04-02 16:08:01 | 32 | -60.8661 | 3.6870 | 1.1932 | 0.5918 | 0.6014 | -62.7283
2026-04-02 16:08:12 | 33 | -60.9093 | 3.6745 | 1.1933 | 0.5929 | 0.6004 | -62.3351
2026-04-02 16:08:23 | 34 | -62.6873 | 3.6714 | 1.1918 | 0.5856 | 0.6062 | -59.5411
2026-04-02 16:08:34 | 35 | -65.4074 | 3.6628 | 1.1855 | 0.5807 | 0.6048 | -61.9208
2026-04-02 16:08:45 | 36 | -63.0879 | 3.6546 | 1.1572 | 0.5699 | 0.5873 | -58.2318
2026-04-02 16:08:56 | 37 | -65.1571 | 3.6497 | 1.1453 | 0.5509 | 0.5945 | -58.1932
2026-04-02 16:09:07 | 38 | -61.5574 | 3.6424 | 1.1338 | 0.5426 | 0.5913 | -70.4576
2026-04-02 16:09:17 | 39 | -60.7748 | 3.6377 | 1.1308 | 0.5284 | 0.6024 | -54.2992
2026-04-02 16:09:28 | 40 | -56.0232 | 3.6293 | 1.1373 | 0.5108 | 0.6265 | -53.2130
2026-04-02 16:11:48 | Training started | num_expert_samples=5000
2026-04-02 16:11:48 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-02 16:12:05 | Training started | num_expert_samples=5000
2026-04-02 16:12:05 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
