train/ent_coef_loss,rollout/success_rate,train/actor_loss,train/ent_coef,train/critic_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,train/n_updates,time/total_timesteps
1.8322271034121513,0.0,0.6493093557655811,0.0002230127602160792,0.00039953105442691594,0.0003,772,-1.9128893799999998,669,344,300.0,230304,230416
-0.06622308492660522,0.0,0.6688930839300156,0.00022656553937849822,0.00034180263537564315,0.0003,776,-1.8991470899999998,680,343,300.0,234016,234128
0.42483686096966267,0.0,0.6902945786714554,0.00022113427348813275,0.00036241028101358097,0.0003,780,-1.87480809,683,343,300.0,235088,235200
,0.0,,,,,784,-1.87480809,683,343,300.0,,235200
1.3001239076256752,0.0,0.690544743090868,0.00022137346786621492,0.0003699879780469928,0.0003,788,-1.87585838,683,343,300.0,235104,235216
-1.4513751529157162,0.01,0.6969573237001896,0.00022381315284292214,0.00037345504097174853,0.0003,792,-1.84927419,688,343,297.01,236560,236672
1.1593592949211597,0.01,0.699266966432333,0.00022295009966910584,0.0004900916865153704,0.0003,796,-1.7945210800000004,697,344,297.01,239888,240000
,0.01,,,,,800,-1.7945210800000004,697,344,297.01,,240000
1.103713508695364,0.02,0.7067889384925365,0.00022323692428471986,0.0003387387696420774,0.0003,804,-1.73803018,697,343,294.02,239904,240016
-0.9740765653550625,0.02,0.7075245603919029,0.00021879909218114335,0.000308499560560449,0.0003,808,-1.72382667,701,343,294.02,241200,241312
-1.6205658130347729,0.03,0.7021580748260021,0.00020143016354268184,0.0003156703369313618,0.0003,812,-1.6246389800000003,711,343,292.35,244688,244800
,0.03,,,,,816,-1.6246389800000003,711,343,292.35,,244800
-0.0884252805262804,0.03,0.7173089161515236,0.00020093508828722406,0.0003365583506820258,0.0003,820,-1.6010837600000003,711,343,292.35,244704,244816
3.9781999364495277,0.03,0.7151441164314747,0.0002099046869261656,0.0003491670868243091,0.0003,824,-1.6005501200000003,715,343,292.35,246000,246112
1.485990745946765,0.03,0.7114142887294292,0.00019809111290669534,0.00030072601930442033,0.0003,828,-1.5312580799999997,725,344,292.35,249488,249600
,0.03,,,,,832,-1.5312580799999997,725,344,292.35,,249600
0.8826348893344402,0.03,0.727538138628006,0.00019858297400787706,0.000307741973301745,0.0003,836,-1.5205355,725,344,292.35,249504,249616
-0.23480792343616486,0.03,0.7251638397574425,0.00019896822959708516,0.00029551127227023244,0.0003,840,-1.49805713,729,344,292.35,250800,250912
-1.3369908779859543,0.03,0.7139222249388695,0.0001843646004999755,0.0002751110196186346,0.0003,844,-1.4436723900000001,739,343,292.35,254288,254400
,0.03,,,,,848,-1.4436723900000001,739,343,292.35,,254400
-1.224308017641306,0.03,0.7001348212361336,0.00018396984523860738,0.00030806620452494826,0.0003,852,-1.4237659,739,343,292.35,254304,254416
0.002936389297246933,0.03,0.72863894328475,0.00019187938505638158,0.00032613289022265235,0.0003,856,-1.43462346,743,343,292.35,255600,255712
-0.13792819157242775,0.03,0.7193076610565186,0.00018088785054715117,0.00030576374410884455,0.0003,860,-1.4142889399999998,753,344,292.35,259088,259200
,0.03,,,,,864,-1.4142889399999998,753,344,292.35,,259200
-0.0025180913507938385,0.03,0.7179950326681137,0.00018072563398163766,0.0003578717314667301,0.0003,868,-1.4152305799999996,753,344,292.35,259104,259216
-0.12837797589600086,0.03,0.7161528244614601,0.00018056191674986621,0.00025161226039926987,0.0003,872,-1.3928798699999998,757,344,292.35,260400,260512
0.7068744106218219,0.03,0.7067886218428612,0.0001768811080182786,0.00031271773150365334,0.0003,876,-1.3474058199999999,767,344,292.35,263888,264000
,0.03,,,,,880,-1.3474058199999999,767,344,292.35,,264000
-0.7897152807563543,0.03,0.7125007584691048,0.000176890902366722,0.00025722517602844164,0.0003,884,-1.3452122100000004,767,344,292.35,263904,264016
-1.8049591202288866,0.03,0.7018519416451454,0.00016850343854457606,0.00033125201207440114,0.0003,888,-1.33532072,770,344,292.35,265200,265312
-0.8547137081623077,0.02,0.6999194882810116,0.0001828055765145109,0.0002589785026430036,0.0003,892,-1.3469294700000003,781,344,295.34,268688,268800
,0.02,,,,,896,-1.3469294700000003,781,344,295.34,,268800
-0.2312510833144188,0.02,0.7094786204397678,0.0001827045716709108,0.000284392386674881,0.0003,900,-1.32719652,781,344,295.34,268704,268816
-1.2318595722317696,0.01,0.7018320858478546,0.00017346969252685085,0.0002218535128122312,0.0003,904,-1.33061648,784,344,298.33,270000,270112
-1.7589713158085942,0.02,0.7094166167080402,0.00018370098678133218,0.0003002995017595822,0.0003,908,-1.3131276600000004,791,344,295.34,272416,272528
1.2230963092297316,0.01,0.6986348256468773,0.00018362416358286282,0.00036165985784464283,0.0003,912,-1.3410802299999998,794,344,297.01,273488,273600
,0.01,,,,,916,-1.3410802299999998,794,344,297.01,,273600
-1.201592018827796,0.01,0.6901499852538109,0.0001705819449853152,0.00024360484439966967,0.0003,920,-1.3357506799999999,797,344,297.01,274544,274656
0.6576105989515781,0.01,0.6938385851681232,0.0001740516581776319,0.000248230643592251,0.0003,924,-1.3201255299999999,805,344,297.01,277216,277328
-1.0797856822609901,0.02,0.7010357342660427,0.00016704762128938455,0.00026419784535391955,0.0003,928,-1.3063624900000002,808,344,296.56,278288,278400
,0.02,,,,,932,-1.3063624900000002,808,344,296.56,,278400
0.07784184440970421,0.02,0.7075487114489079,0.00017111759461840848,0.000379372519091703,0.0003,936,-1.2997858900000003,811,344,296.56,279344,279456
-0.2541419006884098,0.02,0.6888403743505478,0.0001678992057350115,0.0002781008697638754,0.0003,940,-1.28449308,819,344,296.56,282016,282128
1.671706598252058,0.03,0.6902610473334789,0.00016163366126420442,0.00022271057878242573,0.0003,944,-1.2541349500000003,823,344,293.57,283088,283200
,0.03,,,,,948,-1.2541349500000003,823,344,293.57,,283200
1.5358372554183006,0.03,0.6982591189444065,0.0001620975490368437,0.00021241138620098354,0.0003,952,-1.24701485,823,344,293.57,283104,283216
1.7350875847041607,0.03,0.6949954181909561,0.00016676831364748068,0.00021659660978912143,0.0003,956,-1.24595597,829,344,293.57,285216,285328
-0.7322639301419258,0.04,0.6824608445167542,0.0001651725133342552,0.0002032407687693194,0.0003,960,-1.20146703,837,344,293.2,287888,288000
,0.04,,,,,964,-1.20146703,837,344,293.2,,288000
0.1725580431520939,0.04,0.694603469222784,0.00016507435520907165,0.00022334049117489485,0.0003,968,-1.19689101,837,344,293.2,287904,288016
1.508641205728054,0.04,0.6718079745769501,0.0001629686630622018,0.00021046391066192882,0.0003,972,-1.1945175799999999,843,344,293.2,290016,290128
0.7718760706484318,0.04,0.6937807910144329,0.0001651258808124112,0.0002503406885807635,0.0003,976,-1.18168813,850,344,293.2,292688,292800
,0.04,,,,,980,-1.18168813,850,344,293.2,,292800
-4.007095396518707,0.04,0.6658829376101494,0.0001653644776524743,0.00020534987379505765,0.0003,984,-1.1818289000000002,850,344,293.2,292704,292816
