rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/actor_loss,time/episodes,time/total_timesteps,train/ent_coef_loss,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,train/ent_coef
0.0,100.0,73,892,,,652,65600,,,,-33.92909763,
0.0,100.0,73,892,,,656,65600,,,,-33.92909763,
0.0,100.0,75,891,4193,-8.868566513061523,660,67200,-25.218238830566406,0.0012260256335139275,0.001,-32.75215288,0.015809226781129837
0.0,100.0,75,891,,,664,67200,,,,-32.75215288,
0.0,100.0,75,891,,,668,67200,,,,-32.75215288,
0.0,100.0,75,891,,,672,67200,,,,-32.75215288,
0.0,100.0,77,893,4293,-8.78506088256836,676,68800,-25.695175170898438,0.0008487884188070893,0.001,-33.02983886,0.014388405717909336
0.0,100.0,77,893,,,680,68800,,,,-33.02983886,
0.0,100.0,77,893,,,684,68800,,,,-33.02983886,
0.0,100.0,77,893,,,688,68800,,,,-33.02983886,
0.0,100.0,78,895,4393,-8.72431755065918,692,70400,-26.089893341064453,0.0011013865005224943,0.001,-33.50444732,0.013105441816151142
0.0,100.0,78,895,,,696,70400,,,,-33.50444732,
0.0,100.0,78,895,,,700,70400,,,,-33.50444732,
0.0,100.0,78,895,,,704,70400,,,,-33.50444732,
0.0,100.0,80,895,4493,-8.662187576293945,708,72000,-25.88841438293457,0.0013031119015067816,0.001,-32.76625094,0.011943290941417217
0.0,100.0,80,895,,,712,72000,,,,-32.76625094,
0.0,100.0,80,895,,,716,72000,,,,-32.76625094,
0.0,100.0,80,895,,,720,72000,,,,-32.76625094,
0.01,99.78,82,896,4593,-8.59455680847168,724,73600,-25.562335968017578,0.001804646453820169,0.001,-32.180901909999996,0.0108878705650568
0.01,99.78,82,896,,,728,73600,,,,-32.180901909999996,
0.01,99.78,82,896,,,732,73600,,,,-32.180901909999996,
0.01,99.78,82,896,,,736,73600,,,,-32.180901909999996,
0.01,99.78,83,901,4693,-8.811898231506348,740,75200,-25.26119613647461,0.11588171869516373,0.001,-31.65324411,0.00993796531111002
0.01,99.78,83,901,,,744,75200,,,,-31.65324411,
0.01,99.78,83,901,,,748,75200,,,,-31.65324411,
0.01,99.78,83,901,,,752,75200,,,,-31.65324411,
0.01,99.78,84,905,4793,-8.473953247070312,756,76800,-24.951583862304688,0.0009547751396894455,0.001,-30.739596929999998,0.00909272488206625
0.01,99.78,84,905,,,760,76800,,,,-30.739596929999998,
0.01,99.78,84,905,,,764,76800,,,,-30.739596929999998,
0.01,99.78,84,905,,,768,76800,,,,-30.739596929999998,
0.02,99.54,86,910,4893,-8.359217643737793,772,78400,-25.906951904296875,0.0006056068232282996,0.001,-29.697818499999997,0.008320020511746407
0.02,99.54,86,910,,,776,78400,,,,-29.697818499999997,
0.02,99.54,86,910,,,780,78400,,,,-29.697818499999997,
0.02,99.54,86,910,,,784,78400,,,,-29.697818499999997,
0.03,99.33,87,916,4993,-8.327101707458496,788,80000,-25.440332412719727,0.0006831619539298117,0.001,-28.530596240000005,0.007614286616444588
0.03,99.33,87,916,,,792,80000,,,,-28.530596240000005,
0.03,99.33,87,916,,,796,80000,,,,-28.530596240000005,
0.03,99.33,87,916,,,800,80000,,,,-28.530596240000005,
0.05,99.01,88,921,5072,-8.333391189575195,804,81264,-25.236074447631836,0.0005548175540752709,0.001,-28.14786267,0.007105574943125248
0.05,99.01,88,922,5093,-8.26848030090332,808,81600,-24.92658042907715,0.0006399147678166628,0.001,-27.474268749999997,0.00697701470926404
0.05,99.01,88,922,,,812,81600,,,,-27.474268749999997,
0.05,99.01,88,922,,,816,81600,,,,-27.474268749999997,
0.06,98.88,89,926,5172,-8.260293960571289,820,82864,-25.205137252807617,0.0006832975195720792,0.001,-27.31092334,0.006518614012748003
0.05,99.1,89,927,5193,-8.173942565917969,824,83200,-23.532180786132812,0.00911023374646902,0.001,-27.171757089999996,0.0064040254801511765
0.05,99.1,89,927,,,828,83200,,,,-27.171757089999996,
0.05,99.1,89,927,,,832,83200,,,,-27.171757089999996,
0.05,99.1,91,926,5272,-8.221826553344727,836,84464,-25.790502548217773,0.023712042719125748,0.001,-27.244480169999996,0.005989363417029381
0.05,99.1,91,926,5293,-8.159290313720703,840,84800,-24.92742919921875,0.0038703689351677895,0.001,-27.046879250000003,0.005888978950679302
0.05,99.1,91,926,,,844,84800,,,,-27.046879250000003,
0.05,99.1,91,926,,,848,84800,,,,-27.046879250000003,
0.05,99.1,92,925,5372,-8.080170631408691,852,86064,-24.94528579711914,0.0006163162761367857,0.001,-26.704610600000002,0.005513493902981281
0.05,99.1,93,925,5393,-8.120399475097656,856,86400,-25.27908706665039,0.0006971770199015737,0.001,-26.286041089999998,0.005417534615844488
0.05,99.1,93,925,,,860,86400,,,,-26.286041089999998,
0.05,99.1,93,925,,,864,86400,,,,-26.286041089999998,
0.05,99.1,94,924,5472,-8.042911529541016,868,87664,-24.73282814025879,0.000845168367959559,0.001,-26.39821545,0.005089671816676855
0.04,99.34,95,923,5493,-8.06950569152832,872,88000,-24.251983642578125,0.0009192434372380376,0.001,-26.708226990000004,0.00500290933996439
0.04,99.34,95,923,,,876,88000,,,,-26.708226990000004,
0.04,99.34,95,923,,,880,88000,,,,-26.708226990000004,
0.04,99.34,96,923,5572,-8.018655776977539,884,89264,-24.76300811767578,0.0005603887839242816,0.001,-26.725880529999994,0.004693773575127125
0.03,99.55,97,922,5593,-7.957623481750488,888,89600,-24.59543800354004,0.000598888611420989,0.001,-26.093158430000003,0.0046136872842907906
0.03,99.55,97,922,,,892,89600,,,,-26.093158430000003,
0.03,99.55,97,922,,,896,89600,,,,-26.093158430000003,
0.03,99.55,98,924,5672,-7.986233234405518,900,90864,-25.59002685546875,0.0008058446692302823,0.001,-26.081791279999997,0.004323494620621204
0.01,99.87,98,924,5693,-7.84316873550415,904,91200,-24.23392105102539,0.000651999784167856,0.001,-25.98893399,0.0042476532980799675
0.01,99.87,98,924,,,908,91200,,,,-25.98893399,
0.01,99.87,98,924,,,912,91200,,,,-25.98893399,
0.01,99.87,100,923,5772,-7.903775215148926,916,92464,-23.064624786376953,0.00096581329125911,0.001,-26.154117690000003,0.0040007284842431545
0.0,100.0,100,923,5793,-7.937711238861084,920,92800,-22.00524139404297,0.0006598597392439842,0.001,-26.179715789999996,0.003938246518373489
0.0,100.0,100,923,,,924,92800,,,,-26.179715789999996,
0.0,100.0,100,923,,,928,92800,,,,-26.179715789999996,
0.0,100.0,101,923,5872,-7.805826663970947,932,94064,-21.500804901123047,0.000841975212097168,0.001,-25.94503876,0.003707944182679057
0.0,100.0,102,923,5893,-7.829137802124023,936,94400,-21.642480850219727,0.01034118514508009,0.001,-25.424502119999996,0.0036486813332885504
0.0,100.0,102,923,,,940,94400,,,,-25.424502119999996,
0.0,100.0,102,923,,,944,94400,,,,-25.424502119999996,
0.0,100.0,103,922,5972,-7.737712860107422,948,95664,-23.51437759399414,0.0010177353397011757,0.001,-25.36643184,0.0034411537926644087
0.0,100.0,104,922,5993,-7.7914323806762695,952,96000,-20.513782501220703,0.0008850129088386893,0.001,-24.972010960000002,0.0033893645741045475
0.0,100.0,104,922,,,956,96000,,,,-24.972010960000002,
0.0,100.0,104,922,,,960,96000,,,,-24.972010960000002,
0.0,100.0,105,921,6072,-7.638829708099365,964,97264,-20.561260223388672,0.006553865037858486,0.001,-24.724961810000003,0.0031969279516488314
0.0,100.0,105,921,6093,-7.775707244873047,968,97600,-21.55636215209961,0.0016729735070839524,0.001,-24.333012859999993,0.003148020012304187
0.0,100.0,105,921,,,972,97600,,,,-24.333012859999993,
0.0,100.0,105,921,,,976,97600,,,,-24.333012859999993,
0.0,100.0,107,921,6172,-7.66101598739624,980,98864,-21.428756713867188,0.00048404664266854525,0.001,-24.331229799999996,0.0029736715368926525
0.0,100.0,107,921,6193,-7.693544387817383,984,99200,-22.762306213378906,0.0005785415414720774,0.001,-24.26597557999999,0.002927592722699046
0.0,100.0,107,921,,,988,99200,,,,-24.26597557999999,
0.0,100.0,107,921,,,992,99200,,,,-24.26597557999999,
0.01,99.95,109,921,6272,-7.574449062347412,996,100464,-21.797924041748047,0.0005590227665379643,0.001,-24.353164500000002,0.0027561383321881294
0.04,99.47,109,921,6293,-7.577491760253906,1000,100800,-20.86508560180664,0.0031483061611652374,0.001,-24.508842689999998,0.0027129813097417355
0.04,99.47,109,921,,,1004,100800,,,,-24.508842689999998,
0.04,99.47,109,921,,,1008,100800,,,,-24.508842689999998,
0.06,98.94,110,920,6372,-7.574575901031494,1012,102064,-18.33697509765625,0.012767836451530457,0.001,-24.22625843,0.0025569144636392593
0.06,98.94,111,920,6378,-7.564644813537598,1016,102160,-16.468677520751953,0.006690191105008125,0.001,-24.040027879999993,0.002545964904129505
0.06,98.94,111,920,6393,-7.611617565155029,1020,102400,-22.560712814331055,0.0020179362036287785,0.001,-23.95851586,0.0025201747193932533
0.06,98.94,111,920,,,1024,102400,,,,-23.95851586,
0.06,98.94,112,920,6472,-7.473190784454346,1028,103664,-15.159001350402832,0.001531520625576377,0.001,-23.58642601,0.0023779028560966253
0.06,98.94,112,920,6478,-7.568123817443848,1032,103760,-18.70977783203125,0.001377142034471035,0.001,-23.77203034,0.002369023161008954
0.06,98.94,112,920,6493,-7.381508827209473,1036,104000,-20.355817794799805,0.006967748515307903,0.001,-23.28839164,0.0023445358965545893
0.06,98.94,112,920,,,1040,104000,,,,-23.28839164,
0.06,98.94,114,920,6572,-7.476802825927734,1044,105264,-20.737154006958008,0.0007998965447768569,0.001,-23.181103880000002,0.0022171689197421074
0.06,98.94,114,920,6578,-7.468750953674316,1048,105360,-20.474252700805664,0.0007309931679628789,0.001,-23.26367228,0.0022073753643780947
0.06,98.94,114,920,6593,-7.485052108764648,1052,105600,-20.03313446044922,0.0007030481938272715,0.001,-23.530624230000004,0.0021827667951583862
0.06,98.94,114,920,,,1056,105600,,,,-23.530624230000004,
0.07,98.7,116,919,6669,-7.398532390594482,1060,106816,-20.195514678955078,0.0005636418936774135,0.001,-23.361896030000004,0.0020703491754829884
0.07,98.7,116,920,6678,-7.421050071716309,1064,106960,-17.042997360229492,0.0006483342149294913,0.001,-23.172459399999997,0.002057603094726801
0.07,98.7,116,920,6693,-7.443714141845703,1068,107200,-18.650829315185547,0.0005971167702227831,0.001,-22.8835793,0.00203663669526577
0.07,98.7,116,920,,,1072,107200,,,,-22.8835793,
0.08,98.51,117,920,6766,-7.354671001434326,1076,108368,-16.774192810058594,0.0004521815571933985,0.001,-22.926557800000005,0.0019435002468526363
0.08,98.51,117,920,6778,-7.323987007141113,1080,108560,-18.22044563293457,0.006025617942214012,0.001,-22.687718989999993,0.0019289238844066858
0.08,98.51,118,920,6793,-7.334272861480713,1084,108800,-16.126239776611328,0.0023207846097648144,0.001,-22.514460009999997,0.001909326994791627
0.08,98.51,118,920,,,1088,108800,,,,-22.514460009999997,
0.08,98.51,119,920,6866,-7.2872514724731445,1092,109968,-17.667369842529297,0.0005757143953815103,0.001,-22.49801134000001,0.0018217075848951936
0.08,98.39,119,920,6877,-7.327458381652832,1096,110144,-17.217613220214844,0.0007938052294775844,0.001,-22.211832320000003,0.0018081514863297343
0.05,98.87,119,920,6893,-7.328668117523193,1100,110400,-15.761545181274414,0.0006282454123720527,0.001,-21.591463639999997,0.001788755296729505
0.05,98.87,119,920,,,1104,110400,,,,-21.591463639999997,
0.05,98.87,121,920,6966,-7.237185001373291,1108,111568,-15.597085952758789,0.001079391222447157,0.001,-21.679734059999998,0.001714113517664373
0.03,99.4,121,920,6977,-7.353443622589111,1112,111744,-15.775575637817383,0.0018627482932060957,0.001,-21.764707340000005,0.0017028467264026403
0.03,99.4,121,920,6993,-7.156958103179932,1116,112000,-13.774227142333984,0.00897005945444107,0.001,-21.62165922,0.001686440547928214
0.03,99.4,121,920,,,1120,112000,,,,-21.62165922,
0.03,99.4,122,920,7066,-7.257117748260498,1124,113168,-15.458490371704102,0.004010796546936035,0.001,-21.778190930000004,0.0016135548939928412
0.03,99.4,123,920,7077,-7.175409317016602,1128,113344,-14.190771102905273,0.0011184053728356957,0.001,-21.72311118,0.0016015295404940844
0.03,99.4,123,920,7093,-7.13864278793335,1132,113600,-17.159866333007812,0.000888822425622493,0.001,-21.521154239999998,0.0015850766794756055
0.03,99.4,123,920,,,1136,113600,,,,-21.521154239999998,
