time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
153600,0.02,196.91,764,932,-29.150579710000006,164,,,,,,
153600,0.02,196.91,768,932,-29.150579710000006,164,,,,,,
153616,0.02,196.91,772,932,-28.90619902,164,8975,0.001,0.00018981334869749844,0.0004189717292319983,-1.0464516878128052,-7.868407249450684
156800,0.01,198.01,776,931,-27.625548270000003,168,9174,0.001,0.00048457825323566794,0.0003899862349499017,-0.9263068437576294,-5.076915264129639
156800,0.01,198.01,780,931,-27.625548270000003,168,,,,,,
156800,0.01,198.01,784,931,-27.625548270000003,168,,,,,,
156816,0.01,198.01,788,931,-27.20638546,168,9175,0.001,0.00018157990416511893,0.000389883789466694,-0.9167279005050659,-7.6738362312316895
160000,0.0,200.0,792,929,-27.723317479999995,172,9374,0.001,0.0003894323599524796,0.00036318160709924996,-0.9141191244125366,-9.480854034423828
160000,0.0,200.0,796,929,-27.723317479999995,172,,,,,,
160000,0.0,200.0,800,929,-27.723317479999995,172,,,,,,
160016,0.0,200.0,804,929,-27.038926489999998,172,9375,0.001,0.00019146298291161656,0.0003630572755355388,-0.8808587193489075,-9.95022964477539
163200,0.0,200.0,808,928,-27.087382829999996,175,9574,0.001,0.00028611154993996024,0.0003395378589630127,-0.7989239692687988,-4.65449857711792
163200,0.0,200.0,812,928,-27.087382829999996,175,,,,,,
163200,0.0,200.0,816,928,-27.087382829999996,175,,,,,,
163216,0.0,200.0,820,928,-26.84601355,175,9575,0.001,0.00018520049343351275,0.0003394279337953776,-0.8023014068603516,-4.336442947387695
166400,0.0,200.0,824,927,-26.611478520000002,179,9774,0.001,0.00024252431467175484,0.00032051184098236263,-0.7634690999984741,-1.3333103656768799
166400,0.0,200.0,828,927,-26.611478520000002,179,,,,,,
166400,0.0,200.0,832,927,-26.611478520000002,179,,,,,,
166416,0.0,200.0,836,927,-27.199930500000004,179,9775,0.001,0.00019415002316236496,0.00032043849932961166,-0.7557108402252197,-2.254544496536255
168416,0.02,196.76,840,927,-26.105719989999997,181,9900,0.001,0.00013436831068247557,0.00031070137629285455,-0.7150803804397583,-0.7135686278343201
169600,0.02,196.76,844,928,-25.947619670000005,182,9974,0.001,0.0003191085415892303,0.00030472123762592673,-0.729716420173645,0.6803117394447327
169600,0.02,196.76,848,928,-25.947619670000005,182,,,,,,
169616,0.02,196.76,852,928,-26.301592980000006,182,9975,0.001,0.00024391496845055372,0.0003046973724849522,-0.6830520629882812,-0.5413458347320557
171616,0.02,196.76,856,927,-25.84571864,184,10100,0.001,0.00014167861081659794,0.0002951142087113112,-0.6240958571434021,-5.566022872924805
172800,0.02,196.76,860,927,-24.15874803,186,10174,0.001,0.00018901738803833723,0.00028936288435943425,-0.6307146549224854,-4.372107982635498
172800,0.02,196.76,864,927,-24.15874803,186,,,,,,
172816,0.02,196.76,868,927,-23.833627370000002,186,10175,0.001,0.00014060261310078204,0.00028932312852703035,-0.6201561689376831,-4.554703712463379
174256,0.03,195.62,872,926,-23.409167860000007,187,10265,0.001,0.00023632454394828528,0.0002836900530382991,-0.6476531624794006,-3.689859390258789
176000,0.03,195.62,876,926,-22.44790614,190,10374,0.001,0.0006655793404206634,0.0002783266536425799,-0.5750709772109985,3.5640993118286133
176000,0.03,195.62,880,926,-22.44790614,190,,,,,,
176016,0.03,195.62,884,926,-22.284869490000002,190,10375,0.001,0.00012727786088362336,0.0002783446980174631,-0.569695770740509,1.5035656690597534
177456,0.03,195.62,888,925,-22.265088650000003,191,10465,0.001,0.00024118881265167147,0.00027316075284034014,-0.5861284732818604,-5.582354545593262
179200,0.03,195.62,892,925,-20.672963630000005,193,10574,0.001,0.00014625716721639037,0.000266595947323367,-0.5352921485900879,-0.2970272898674011
179200,0.03,195.62,896,925,-20.672963630000005,193,,,,,,
179216,0.03,195.62,900,925,-20.481280270000003,193,10575,0.001,0.00015937004354782403,0.0002665275533217937,-0.514565110206604,0.21859699487686157
180656,0.03,195.62,904,924,-20.35342177,195,10665,0.001,0.00032667670166119933,0.00026288008666597307,-0.5262922048568726,-4.79966926574707
182400,0.03,195.62,908,923,-19.463072349999997,197,10774,0.001,0.0002107967738993466,0.00025825173361226916,-0.4805399179458618,-3.812089204788208
182400,0.03,195.62,912,923,-19.463072349999997,197,,,,,,
182416,0.03,195.62,916,923,-19.29265575,197,10775,0.001,0.0001315808476647362,0.0002581886947154999,-0.43407565355300903,-4.253939628601074
183776,0.04,194.0,920,923,-19.0248912,199,10860,0.001,8.53937235660851e-05,0.00025178937357850373,-0.46788913011550903,-3.851675271987915
185600,0.04,194.0,924,923,-18.32395068,201,10974,0.001,0.00016972262528724968,0.0002475134388078004,-0.44267597794532776,6.947303295135498
185600,0.04,194.0,928,923,-18.32395068,201,,,,,,
185616,0.04,194.0,932,923,-18.35442001,201,10975,0.001,9.847403998719528e-05,0.00024771085008978844,-0.46822911500930786,1.9757227897644043
186976,0.04,194.0,936,922,-17.67485689,202,11060,0.001,0.0001705542963463813,0.0002444437122903764,-0.42636194825172424,-0.277069628238678
